,count,mean,std,min,25%,50%,75%,max,missing
dln_neer,86.0,-0.001,0.0394,-0.1325,-0.0192,-0.0008,0.0155,0.1922,0
dln_usd_jpy,86.0,0.0003,0.0387,-0.113,-0.0223,0.0015,0.0211,0.13,0
dln_eur_jpy,86.0,0.0024,0.0478,-0.2458,-0.0186,0.0038,0.0278,0.1483,0
dln_import_price,86.0,0.001,0.0473,-0.2898,-0.0138,0.0028,0.022,0.1038,0
dln_export_price,86.0,-0.0017,0.0273,-0.1414,-0.013,-0.0015,0.0138,0.0482,0
dln_real_imports,86.0,0.0061,0.0315,-0.1753,-0.0058,0.0121,0.023,0.0601,0
dln_real_exports,86.0,0.0082,0.0535,-0.2942,-0.0075,0.0145,0.0311,0.0919,0
